time,gFx,gFy,gFz,acc
05:47.3,0.004,-0.371,-0.446,0.58
05:47.3,0.004,-0.371,-0.446,0.58
05:47.3,0.072,-0.441,-0.49,0.663
05:47.3,0.102,-0.469,-0.476,0.676
05:47.4,0.085,-0.464,-0.471,0.667
05:47.4,0.124,-0.573,-0.54,0.797
05:47.4,0.129,-0.667,-0.715,0.986
05:47.4,0.087,-0.694,-0.886,1.129
05:47.4,-0.066,-0.727,-0.937,1.188
05:47.4,-0.29,-0.643,-1.1,1.307
05:47.4,-0.379,-0.593,-1.369,1.539
05:47.4,-0.379,-0.593,-1.369,1.539
05:47.4,-0.31,-0.58,-1.437,1.58
05:47.4,-0.19,-0.405,-1.449,1.516
05:47.5,-0.103,-0.183,-1.338,1.354
05:47.5,-0.087,-0.104,-1.214,1.222
05:47.5,-0.098,-0.106,-1.142,1.151
05:47.5,-0.127,-0.19,-1.169,1.191
05:47.5,-0.138,-0.316,-1.155,1.205
05:47.5,-0.14,-0.399,-1.106,1.184
05:47.5,-0.304,-0.414,-1.05,1.169
05:47.5,-0.304,-0.414,-1.05,1.169
05:47.5,-0.39,-0.43,-1.072,1.219
05:47.5,-0.376,-0.423,-1.093,1.231
05:47.6,-0.389,-0.4,-1.091,1.225
05:47.6,-0.396,-0.327,-0.987,1.113
05:47.6,-0.271,-0.435,-0.573,0.769
05:47.6,-0.082,-0.765,-0.416,0.875
05:47.6,-0.229,-0.409,-0.614,0.772
05:47.6,-0.449,0.063,-0.505,0.679
05:47.6,-0.357,-0.16,-0.515,0.647
05:47.6,-0.357,-0.16,-0.515,0.647
05:47.6,-0.475,-0.076,-0.625,0.789
05:47.6,-0.494,-0.077,-0.569,0.757
05:47.7,-0.346,-0.161,-0.524,0.648
05:47.7,-0.337,-0.168,-0.819,0.901
05:47.7,-0.357,-0.108,-0.916,0.989
05:47.7,-0.336,-0.268,-0.891,0.989
05:47.7,-0.492,-0.221,-0.99,1.127
05:47.7,-0.663,-0.189,-0.97,1.19
05:47.7,-0.588,-0.328,-1.093,1.284
05:47.7,-0.588,-0.328,-1.093,1.284
05:47.7,-0.387,-0.367,-0.988,1.123
05:47.7,-0.251,-0.486,-1.015,1.153
05:47.8,-0.248,-0.419,-1.153,1.252
05:47.8,-0.499,-0.269,-1.348,1.462
05:47.8,-0.591,-0.346,-1.357,1.52
05:47.8,-0.684,-0.337,-1.342,1.543
05:47.8,-0.755,-0.215,-1.402,1.607
05:47.8,-0.509,-0.4,-1.112,1.287
05:47.8,-0.099,-0.69,-0.777,1.044
05:47.8,-0.099,-0.69,-0.777,1.044
05:47.8,0.045,-0.758,-0.57,0.949
05:47.8,0.072,-0.683,-0.38,0.785
05:47.9,-0.006,-0.673,-0.387,0.776
05:47.9,0.001,-0.689,-0.311,0.756
05:47.9,0.218,-0.716,-0.212,0.778
05:47.9,0.015,-0.642,-0.404,0.759
05:47.9,0.262,-0.674,-0.143,0.737
05:47.9,0.138,-0.658,-0.241,0.714
05:47.9,0.295,-0.777,-0.032,0.832
05:47.9,0.295,-0.777,-0.032,0.832
05:47.9,0.387,-0.812,0.06,0.902
05:47.9,0.39,-0.815,0.048,0.905
05:48.0,0.32,-0.759,-0.083,0.828
05:48.0,0.263,-0.686,-0.279,0.786
05:48.0,0.265,-0.635,-0.462,0.829
05:48.0,0.259,-0.577,-0.601,0.872
05:48.0,0.191,-0.571,-0.749,0.961
05:48.0,0.196,-0.622,-0.81,1.04
05:48.0,-0.138,-0.677,-1.317,1.487
05:48.0,-0.138,-0.677,-1.317,1.487
05:48.0,-0.464,-0.687,-1.647,1.844
05:48.0,-0.753,-0.727,-1.864,2.138
05:48.1,-0.742,-0.809,-2.064,2.338
05:48.1,-0.634,-0.738,-2.239,2.441
05:48.1,-0.551,-0.583,-2.214,2.355
05:48.1,-0.525,-0.478,-2.206,2.317
05:48.1,-0.499,-0.37,-2.071,2.162
05:48.1,-0.493,-0.274,-1.92,2.001
05:48.1,-0.355,-0.067,-1.479,1.522
05:48.1,-0.355,-0.067,-1.479,1.522
05:48.1,-0.351,0.001,-1.223,1.272
05:48.1,-0.284,-0.066,-1.006,1.047
05:48.2,-0.235,-0.088,-0.984,1.015
05:48.2,-0.232,-0.136,-0.779,0.824
05:48.2,-0.173,0.016,-0.413,0.448
05:48.2,-0.191,-0.029,-0.575,0.607
05:48.2,-0.171,-0.026,-0.507,0.536
05:48.2,-0.19,-0.051,-0.425,0.468
05:48.2,-0.279,-0.046,-0.208,0.351
05:48.2,-0.279,-0.046,-0.208,0.351
05:48.2,-0.341,-0.023,-0.319,0.468
05:48.2,-0.414,0.017,-0.362,0.55
05:48.3,-0.38,-0.017,-0.231,0.445
05:48.3,-0.44,-0.049,-0.367,0.575
05:48.3,-0.504,-0.09,-0.427,0.667
05:48.3,-0.482,-0.211,-0.534,0.75
05:48.3,-0.568,-0.271,-0.683,0.929
05:48.3,-0.744,-0.328,-0.78,1.127
05:48.3,-1.102,-0.344,-0.878,1.45
05:48.3,-1.102,-0.344,-0.878,1.45
05:48.3,-1.151,-0.368,-0.99,1.562
05:48.3,-1.097,-0.477,-1.07,1.605
05:48.4,-0.987,-0.604,-1.209,1.674
05:48.4,-0.917,-0.65,-1.385,1.784
05:48.4,-0.939,-0.526,-1.551,1.888
05:48.4,-0.929,-0.354,-1.692,1.962
05:48.4,-0.862,-0.344,-1.822,2.045
05:48.4,-0.81,-0.414,-1.979,2.178
05:48.4,-0.69,-0.366,-1.824,1.984
05:48.4,-0.69,-0.366,-1.824,1.984
05:48.4,-0.543,-0.36,-1.687,1.808
05:48.4,-0.432,-0.395,-1.454,1.567
05:48.5,-0.332,-0.41,-1.195,1.306
05:48.5,-0.229,-0.473,-0.951,1.087
05:48.5,-0.072,-0.51,-0.681,0.854
05:48.5,-0.02,-0.517,-0.465,0.696
05:48.5,0.284,-0.586,-0.065,0.654
05:48.5,0.284,-0.586,-0.065,0.654
05:48.5,0.284,-0.586,-0.065,0.654
05:48.5,0.284,-0.586,-0.065,0.654
05:48.5,0.263,-0.568,-0.014,0.626
05:48.5,0.218,-0.485,0.012,0.532
05:48.6,0.154,-0.402,0.04,0.432
05:48.6,0.15,-0.35,0.061,0.386
05:48.6,0.214,-0.353,-0.008,0.413
05:48.6,0.233,-0.389,-0.123,0.47
05:48.6,0.184,-0.385,-0.181,0.464
05:48.6,0.091,-0.395,-0.113,0.421
05:48.6,-0.143,-0.395,-0.094,0.43
05:48.6,-0.143,-0.395,-0.094,0.43
05:48.6,-0.13,-0.479,-0.184,0.529
05:48.6,-0.098,-0.677,-0.384,0.784
05:48.7,-0.409,-0.921,-0.482,1.117
05:48.8,-0.135,-0.016,-0.534,0.551
05:48.8,-0.135,-0.016,-0.534,0.551
05:48.8,-0.135,-0.016,-0.534,0.551
05:48.8,-0.135,-0.016,-0.534,0.551
05:48.8,-0.135,-0.016,-0.534,0.551
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.112,0.1,-0.461,0.485
05:48.8,-0.123,0.206,-0.458,0.517
05:48.8,-0.073,0.353,-0.139,0.386
05:48.8,-0.04,0.516,0.096,0.526
05:48.8,0.011,0.7,0.162,0.719
05:48.8,0.175,0.758,0.362,0.858
05:48.9,0.3,0.665,0.416,0.84
05:48.9,0.377,0.674,0.444,0.891
05:48.9,0.344,0.755,0.533,0.986
05:48.9,0.234,0.803,0.585,1.021
05:48.9,0.137,0.835,0.681,1.086
06:00.7,0.038,0.85,0.709,1.108
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.364,-0.141,-0.507,0.64
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.373,-0.088,-0.503,0.632
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.362,-0.067,-0.466,0.594
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
06:00.7,-0.331,-0.053,-0.444,0.556
